model,d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
first_half,1.0,1.8849555921538759,-1.2566370614359172,1.7112923,0.11253309,-2.498856,-6.03199e-05,5.4240227e-05,0.00037988013
first_half,1.0,1.8849555921538759,-0.6283185307179586,1.2043897,1.4344189,-0.7491567,-1.6212463e-05,2.4795532e-05,-4.7211553e-05
first_half,1.0,1.8849555921538759,0.0,1.2043892,1.4344189,-0.74915695,-7.6293945e-06,1.1444092e-05,-4.1221567e-05
first_half,1.0,1.8849555921538759,0.6283185307179586,2.548192,2.465091,-0.3035221,0.00047683716,0.0003478527,0.0003115523
first_half,1.0,1.8849555921538759,1.2566370614359172,2.1653643,-0.81550336,2.0887692,-0.00078105927,0.00035214424,-0.00017130532
first_half,1.0,1.8849555921538759,1.8849555921538759,2.1653688,-0.81550646,2.0887735,-0.00071525574,0.00034999847,-0.0002087505
first_half,1.0,1.8849555921538759,2.5132741228718345,2.0439415,2.0969985,0.5548413,-0.0008583069,-0.014801025,-0.0077163847
first_half,1.0,2.5132741228718345,-3.141592653589793,1.8140607,2.651501,0.09866929,0.39239502,0.5918269,-0.8399434
first_half,1.0,2.5132741228718345,-2.5132741228718345,0.9004723,-0.15864849,2.3440564,-0.000562191,-5.9127808e-05,2.3253018e-05
first_half,1.0,2.5132741228718345,-1.8849555921538759,1.2043896,1.4344189,-0.7491584,1.335144e-05,-2.4795532e-05,-3.737002e-05
first_half,1.0,2.5132741228718345,-1.2566370614359172,2.5484831,2.465154,-0.3034358,0.00012493134,3.3140182e-05,0.0003470953
first_half,1.0,2.5132741228718345,-0.6283185307179586,1.2043885,1.4344189,-0.7491572,1.2397766e-05,5.722046e-06,-2.7759113e-05
first_half,1.0,2.5132741228718345,0.0,1.2043891,1.4344194,-0.74915814,2.193451e-05,-3.2424927e-05,-5.4865643e-05
first_half,1.0,2.5132741228718345,0.6283185307179586,1.2043904,1.434418,-0.7491586,2.861023e-06,2.861023e-06,3.4118057e-05
first_half,1.0,2.5132741228718345,1.2566370614359172,1.711292,0.11253238,-2.4988577,-5.340576e-05,6.3061714e-05,0.00039168124
first_half,1.0,2.5132741228718345,1.8849555921538759,10.453634,-2.9608676,0.2753005,-0.00042200089,-0.0003938675,-0.00033107342
first_half,1.0,2.5132741228718345,2.5132741228718345,3.2542915,2.4241264,0.13880444,-0.69488335,0.46786308,0.08879013
first_half,1.5,-3.141592653589793,-3.141592653589793,3.1892765,2.4848135,0.1501162,-0.4102173,0.72332287,0.09755339
first_half,1.5,-3.141592653589793,-2.5132741228718345,1.8163266,2.6576817,0.08485961,0.3731041,0.5546231,-0.8105964
first_half,1.5,-3.141592653589793,-1.8849555921538759,2.042779,2.1016948,0.5563743,0.04616356,-0.018359184,0.014699721
first_half,1.5,-3.141592653589793,-1.2566370614359172,1.2043911,1.4344175,-0.7491586,-1.2397766e-05,2.4795532e-05,5.0392184e-05
first_half,1.5,-3.141592653589793,-0.6283185307179586,2.5481846,2.4650824,-0.30354095,0.0005683899,0.0002770424,0.00033797324
first_half,1.5,-3.141592653589793,0.0,2.5481784,2.465083,-0.30354595,0.00061511993,0.00024604797,0.0003234306
