d,theta1,theta2
3.082278490066528320e+00,2.408999919891357422e+00,1.500000059604644775e-01
3.082278490066528320e+00,2.410000085830688477e+00,1.500000059604644775e-01
3.132911443710327148e+00,-1.700000017881393433e-01,2.736000061035156250e+00
3.132911443710327148e+00,1.511999964714050293e+00,1.917999982833862305e+00
3.132911443710327148e+00,2.387000083923339844e+00,1.500000059604644775e-01
3.183544397354125977e+00,-1.609999984502792358e-01,2.733999967575073242e+00
3.183544397354125977e+00,1.513000011444091797e+00,1.886000037193298340e+00
3.183544397354125977e+00,2.361999988555908203e+00,1.509999930858612061e-01
3.234177112579345703e+00,-1.529999971389770508e-01,2.730999946594238281e+00
3.234177112579345703e+00,1.521000027656555176e+00,1.858000040054321289e+00
3.234177112579345703e+00,1.521999955177307129e+00,1.858000040054321289e+00
3.234177112579345703e+00,2.334000110626220703e+00,1.500000059604644775e-01
3.284810066223144531e+00,-1.449999958276748657e-01,2.729000091552734375e+00
3.284810066223144531e+00,1.534999966621398926e+00,1.833999991416931152e+00
3.284810066223144531e+00,2.303999900817871094e+00,1.490000039339065552e-01
3.335443019866943359e+00,-1.369999945163726807e-01,2.726999998092651367e+00
3.335443019866943359e+00,1.552000045776367188e+00,1.812999963760375977e+00
3.335443019866943359e+00,2.269999980926513672e+00,1.480000019073486328e-01
3.386075973510742188e+00,-1.289999932050704956e-01,2.724999904632568359e+00
3.386075973510742188e+00,1.572000026702880859e+00,1.794000029563903809e+00
3.386075973510742188e+00,2.233000040054321289e+00,1.439999938011169434e-01
3.386075973510742188e+00,2.233999967575073242e+00,1.439999938011169434e-01
3.436708927154541016e+00,-1.209999993443489075e-01,2.723999977111816406e+00
3.436708927154541016e+00,1.592000007629394531e+00,1.776999950408935547e+00
3.436708927154541016e+00,2.194000005722045898e+00,1.400000005960464478e-01
3.487341880798339844e+00,-1.129999980330467224e-01,2.723999977111816406e+00
3.487341880798339844e+00,1.613999962806701660e+00,1.761000037193298340e+00
3.487341880798339844e+00,2.151000022888183594e+00,1.330000013113021851e-01
3.537974596023559570e+00,-1.049999967217445374e-01,2.723999977111816406e+00
3.537974596023559570e+00,1.634999990463256836e+00,1.746000051498413086e+00
3.537974596023559570e+00,2.107000112533569336e+00,1.239999979734420776e-01
3.588607549667358398e+00,-9.799999743700027466e-02,2.726000070571899414e+00
3.588607549667358398e+00,1.656000018119812012e+00,1.730999946594238281e+00
3.588607549667358398e+00,2.061000108718872070e+00,1.129999980330467224e-01
3.639240503311157227e+00,-9.099999815225601196e-02,2.727999925613403320e+00
3.639240503311157227e+00,1.677000045776367188e+00,1.717000007629394531e+00
3.639240503311157227e+00,2.013999938964843750e+00,1.000000014901161194e-01
3.689873456954956055e+00,-8.399999886751174927e-02,2.732000112533569336e+00
3.689873456954956055e+00,-7.199999690055847168e-02,3.000000026077032089e-03
3.689873456954956055e+00,1.697999954223632812e+00,1.702999949455261230e+00
3.689873456954956055e+00,1.965000033378601074e+00,8.500000089406967163e-02
3.740506410598754883e+00,-7.800000160932540894e-02,2.737999916076660156e+00
3.740506410598754883e+00,-3.599999845027923584e-02,2.000000094994902611e-03
3.740506410598754883e+00,1.717000007629394531e+00,1.687999963760375977e+00
3.740506410598754883e+00,1.909999966621398926e+00,6.899999827146530151e-02
3.791139125823974609e+00,-7.199999690055847168e-02,2.746999979019165039e+00
3.791139125823974609e+00,-1.700000092387199402e-02,1.000000047497451305e-03
3.791139125823974609e+00,1.735999941825866699e+00,1.672999978065490723e+00
3.791139125823974609e+00,1.843000054359436035e+00,5.200000107288360596e-02
3.791139125823974609e+00,1.843999981880187988e+00,5.200000107288360596e-02
3.841772079467773438e+00,-6.599999964237213135e-02,2.757999897003173828e+00
3.841772079467773438e+00,-4.000000189989805222e-03,-0.000000000000000000e+00
3.841772079467773438e+00,1.753999948501586914e+00,1.657999992370605469e+00
3.892405033111572266e+00,-6.100000068545341492e-02,2.773999929428100586e+00
3.892405033111572266e+00,4.999999888241291046e-03,-1.000000047497451305e-03
3.892405033111572266e+00,1.771000027656555176e+00,1.641000032424926758e+00
3.943037986755371094e+00,-5.700000002980232239e-02,-2.572999954223632812e+00
3.943037986755371094e+00,-5.700000002980232239e-02,-2.572000026702880859e+00
3.943037986755371094e+00,-5.700000002980232239e-02,2.796000003814697266e+00
3.943037986755371094e+00,1.200000010430812836e-02,-2.000000094994902611e-03
3.943037986755371094e+00,1.787999987602233887e+00,1.623000025749206543e+00
3.993670940399169922e+00,-5.400000140070915222e-02,-2.512000083923339844e+00
3.993670940399169922e+00,-5.400000140070915222e-02,2.828000068664550781e+00
3.993670940399169922e+00,1.700000092387199402e-02,-3.000000026077032089e-03
3.993670940399169922e+00,1.802999973297119141e+00,1.603999972343444824e+00
4.044303894042968750e+00,-1.735999941825866699e+00,-1.140000000596046448e-01
4.044303894042968750e+00,-5.299999937415122986e-02,-2.470999956130981445e+00
4.044303894042968750e+00,-5.299999937415122986e-02,2.882999897003173828e+00
4.044303894042968750e+00,2.199999988079071045e-02,-4.000000189989805222e-03
4.044303894042968750e+00,1.817000031471252441e+00,1.583999991416931152e+00
4.094936847686767578e+00,-1.616000056266784668e+00,-8.699999749660491943e-02
4.094936847686767578e+00,-5.400000140070915222e-02,-2.437999963760375977e+00
4.094936847686767578e+00,2.500000037252902985e-02,-4.000000189989805222e-03
4.094936847686767578e+00,1.828999996185302734e+00,1.560999989509582520e+00
4.145569801330566406e+00,-1.496999979019165039e+00,-6.400000303983688354e-02
4.145569801330566406e+00,-5.600000172853469849e-02,-2.407999992370605469e+00
4.145569801330566406e+00,2.800000086426734924e-02,-4.999999888241291046e-03
4.145569801330566406e+00,1.840999960899353027e+00,1.536999940872192383e+00
4.196202754974365234e+00,-1.292000055313110352e+00,-3.700000047683715820e-02
4.196202754974365234e+00,-1.291000008583068848e+00,-3.700000047683715820e-02
4.196202754974365234e+00,-5.900000035762786865e-02,-2.381000041961669922e+00
4.196202754974365234e+00,2.999999932944774628e-02,-6.000000052154064178e-03
4.196202754974365234e+00,1.850000023841857910e+00,1.509999990463256836e+00
4.246835231781005859e+00,-6.300000101327896118e-02,-2.355000019073486328e+00
4.246835231781005859e+00,3.200000151991844177e-02,-6.000000052154064178e-03
4.246835231781005859e+00,1.858000040054321289e+00,1.478999972343444824e+00
4.297468185424804688e+00,-6.800000369548797607e-02,-2.328999996185302734e+00
4.297468185424804688e+00,3.400000184774398804e-02,-7.000000216066837311e-03
4.297468185424804688e+00,3.400000184774398804e-02,-6.000000052154064178e-03
4.297468185424804688e+00,1.863999962806701660e+00,1.445000052452087402e+00
4.348101139068603516e+00,-7.500000298023223877e-02,-2.302999973297119141e+00
4.348101139068603516e+00,3.500000014901161194e-02,-7.000000216066837311e-03
4.348101139068603516e+00,1.868000030517578125e+00,1.406000018119812012e+00
4.398734092712402344e+00,-8.399999886751174927e-02,-2.276999950408935547e+00
4.398734092712402344e+00,-8.399999886751174927e-02,-2.276000022888183594e+00
4.398734092712402344e+00,3.599999845027923584e-02,-7.000000216066837311e-03
4.398734092712402344e+00,1.870000004768371582e+00,1.358999967575073242e+00
4.449367046356201172e+00,-9.499999880790710449e-02,-2.250000000000000000e+00
4.449367046356201172e+00,-9.499999880790710449e-02,-2.249000072479248047e+00
4.449367046356201172e+00,3.700000047683715820e-02,-8.000000379979610443e-03
4.449367046356201172e+00,1.868999958038330078e+00,1.294999957084655762e+00
4.500000000000000000e+00,-1.110000014305114746e-01,-2.223000049591064453e+00
4.500000000000000000e+00,3.700000047683715820e-02,-8.000000379979610443e-03
