d,theta1,theta2
2.285714387893676758e+00,-2.700000070035457611e-02,-3.092000007629394531e+00
2.285714387893676758e+00,2.553999900817871094e+00,1.909999996423721313e-01
2.357142925262451172e+00,-1.850999951362609863e+00,-2.099999971687793732e-02
2.357142925262451172e+00,-1.260000020265579224e-01,-2.302000045776367188e+00
2.357142925262451172e+00,-3.500000014901161194e-02,1.717000007629394531e+00
2.357142925262451172e+00,-2.899999916553497314e-02,-3.055000066757202148e+00
2.357142925262451172e+00,2.388999938964843750e+00,2.770000100135803223e-01
2.357142925262451172e+00,2.390000104904174805e+00,2.770000100135803223e-01
2.428571462631225586e+00,-1.840000033378601074e+00,-3.900000080466270447e-02
2.428571462631225586e+00,-1.280000060796737671e-01,-2.259000062942504883e+00
2.428571462631225586e+00,-9.700000286102294922e-02,1.618000030517578125e+00
2.428571462631225586e+00,-9.700000286102294922e-02,1.618999958038330078e+00
2.428571462631225586e+00,-3.099999949336051941e-02,-3.019000053405761719e+00
2.428571462631225586e+00,2.262000083923339844e+00,3.720000088214874268e-01
2.428571462631225586e+00,2.262000083923339844e+00,3.729999959468841553e-01
2.500000000000000000e+00,-1.828999996185302734e+00,-5.299999937415122986e-02
2.500000000000000000e+00,-1.250000000000000000e-01,-2.227999925613403320e+00
2.500000000000000000e+00,-3.400000184774398804e-02,-2.980000019073486328e+00
2.500000000000000000e+00,2.206000089645385742e+00,4.250000119209289551e-01
2.571428537368774414e+00,-1.820000052452087402e+00,-6.400000303983688354e-02
2.571428537368774414e+00,-1.199999973177909851e-01,-2.201999902725219727e+00
2.571428537368774414e+00,-3.799999877810478210e-02,-2.931999921798706055e+00
2.571428537368774414e+00,-3.700000047683715820e-02,-2.931999921798706055e+00
2.642857074737548828e+00,-1.810999989509582520e+00,-7.199999690055847168e-02
2.642857074737548828e+00,-1.140000000596046448e-01,-2.180000066757202148e+00
2.714285612106323242e+00,-1.804000020027160645e+00,-7.900000363588333130e-02
2.714285612106323242e+00,-1.412999987602233887e+00,-1.167000055313110352e+00
2.714285612106323242e+00,-1.080000028014183044e-01,-2.158999919891357422e+00
2.785714387893676758e+00,-1.797999978065490723e+00,-8.399999886751174927e-02
2.785714387893676758e+00,-1.465000033378601074e+00,-1.023000001907348633e+00
2.785714387893676758e+00,-1.030000001192092896e-01,-2.137000083923339844e+00
2.857142925262451172e+00,-1.792999982833862305e+00,-8.699999749660491943e-02
2.857142925262451172e+00,-1.508000016212463379e+00,-9.300000071525573730e-01
2.857142925262451172e+00,-9.700000286102294922e-02,-2.115000009536743164e+00
2.857142925262451172e+00,3.510000109672546387e-01,-9.600000083446502686e-02
2.928571462631225586e+00,-1.789999961853027344e+00,-9.000000357627868652e-02
2.928571462631225586e+00,-1.559999942779541016e+00,-8.510000109672546387e-01
2.928571462631225586e+00,-9.300000220537185669e-02,-2.092000007629394531e+00
2.928571462631225586e+00,2.820000052452087402e-01,-7.000000029802322388e-02
2.928571462631225586e+00,2.829999923706054688e-01,-7.000000029802322388e-02
3.000000000000000000e+00,-1.789000034332275391e+00,-9.099999815225601196e-02
3.000000000000000000e+00,-8.900000154972076416e-02,-2.065000057220458984e+00
3.000000000000000000e+00,2.520000040531158447e-01,-5.499999970197677612e-02
3.071428537368774414e+00,-1.791000008583068848e+00,-9.099999815225601196e-02
3.071428537368774414e+00,-8.699999749660491943e-02,-2.035000085830688477e+00
3.071428537368774414e+00,2.319999933242797852e-01,-4.300000146031379700e-02
3.071428537368774414e+00,1.809000015258789062e+00,1.920000016689300537e-01
3.071428537368774414e+00,1.809000015258789062e+00,1.930000036954879761e-01
3.142857074737548828e+00,-1.797999978065490723e+00,-8.799999952316284180e-02
3.142857074737548828e+00,-9.710000157356262207e-01,-1.369999945163726807e-01
3.142857074737548828e+00,-9.710000157356262207e-01,-1.360000073909759521e-01
3.142857074737548828e+00,-9.700000286102294922e-01,-1.369999945163726807e-01
3.142857074737548828e+00,-9.700000286102294922e-01,-1.360000073909759521e-01
3.142857074737548828e+00,-8.699999749660491943e-02,-1.998000025749206543e+00
3.142857074737548828e+00,2.169999927282333374e-01,-3.400000184774398804e-02
3.214285612106323242e+00,-1.815000057220458984e+00,-8.299999684095382690e-02
3.214285612106323242e+00,-9.869999885559082031e-01,-1.389999985694885254e-01
3.214285612106323242e+00,-9.300000220537185669e-02,-1.953999996185302734e+00
3.214285612106323242e+00,2.049999982118606567e-01,-2.700000070035457611e-02
3.285714387893676758e+00,-1.850999951362609863e+00,-7.199999690055847168e-02
3.285714387893676758e+00,-1.004999995231628418e+00,-1.400000005960464478e-01
3.285714387893676758e+00,-1.049999967217445374e-01,-1.901999950408935547e+00
3.285714387893676758e+00,1.949999928474426270e-01,-2.099999971687793732e-02
3.285714387893676758e+00,1.959999948740005493e-01,-2.099999971687793732e-02
3.357142925262451172e+00,-1.906999945640563965e+00,-5.900000035762786865e-02
3.357142925262451172e+00,-1.024000048637390137e+00,-1.379999965429306030e-01
3.357142925262451172e+00,-1.250000000000000000e-01,-1.848000049591064453e+00
3.357142925262451172e+00,1.870000064373016357e-01,-1.600000075995922089e-02
