d,theta1,theta2
3.082278490066528320e+00,1.583999991416931152e+00,1.812000036239624023e+00
3.082278490066528320e+00,2.357000112533569336e+00,1.739999949932098389e-01
3.082278490066528320e+00,2.358000040054321289e+00,1.739999949932098389e-01
3.132911443710327148e+00,-1.873999953269958496e+00,-2.529999911785125732e-01
3.132911443710327148e+00,-1.873000025749206543e+00,-2.529999911785125732e-01
3.132911443710327148e+00,-3.630000054836273193e-01,3.200000151991844177e-02
3.132911443710327148e+00,-2.000000094994902611e-03,-2.536000013351440430e+00
3.132911443710327148e+00,1.608999967575073242e+00,1.784999966621398926e+00
3.132911443710327148e+00,2.306999921798706055e+00,1.840000003576278687e-01
3.183544397354125977e+00,-3.070000112056732178e-01,2.600000053644180298e-02
3.183544397354125977e+00,-4.999999888241291046e-03,-2.529999971389770508e+00
3.183544397354125977e+00,1.633000016212463379e+00,1.761000037193298340e+00
3.183544397354125977e+00,2.249000072479248047e+00,1.940000057220458984e-01
3.234177112579345703e+00,-2.630000114440917969e-01,2.199999988079071045e-02
3.234177112579345703e+00,-8.000000379979610443e-03,-2.523000001907348633e+00
3.234177112579345703e+00,1.657999992370605469e+00,1.736999988555908203e+00
3.234177112579345703e+00,2.184000015258789062e+00,2.029999941587448120e-01
3.284810066223144531e+00,-2.269999980926513672e-01,1.799999922513961792e-02
3.284810066223144531e+00,-1.099999994039535522e-02,-2.515000104904174805e+00
3.284810066223144531e+00,1.682000041007995605e+00,1.715000033378601074e+00
3.284810066223144531e+00,2.114000082015991211e+00,2.109999954700469971e-01
3.335443019866943359e+00,-1.969999969005584717e-01,1.499999966472387314e-02
3.335443019866943359e+00,-1.400000043213367462e-02,-2.506999969482421875e+00
3.335443019866943359e+00,1.703999996185302734e+00,1.692000031471252441e+00
3.335443019866943359e+00,2.042000055313110352e+00,2.160000056028366089e-01
3.386075973510742188e+00,-1.710000038146972656e-01,1.300000026822090149e-02
3.386075973510742188e+00,-1.799999922513961792e-02,-2.496999979019165039e+00
3.386075973510742188e+00,1.725999951362609863e+00,1.669000029563903809e+00
3.386075973510742188e+00,1.975000023841857910e+00,2.150000035762786865e-01
3.436708927154541016e+00,-1.480000019073486328e-01,1.200000010430812836e-02
3.436708927154541016e+00,-2.099999971687793732e-02,-2.486999988555908203e+00
3.436708927154541016e+00,1.746999979019165039e+00,1.644999980926513672e+00
3.436708927154541016e+00,1.914000034332275391e+00,2.080000042915344238e-01
3.487341880798339844e+00,-1.280000060796737671e-01,1.099999994039535522e-02
3.487341880798339844e+00,-2.500000037252902985e-02,-2.476999998092651367e+00
3.487341880798339844e+00,-2.500000037252902985e-02,-2.476000070571899414e+00
3.487341880798339844e+00,1.766000032424926758e+00,1.621000051498413086e+00
