d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
1.0,1.2566370614359172,2.5132741228718345,3.047493,0.042184353,-2.2777743,0.6659522,-0.36505842,-0.31541398
1.0,1.8849555921538759,-3.141592653589793,3.6742191,-0.03229761,2.850979,5.885172,-0.020654004,0.4373868
1.0,1.8849555921538759,-2.5132741228718345,2.5198405,2.7676442,0.09226394,0.0006658359,0.0001461713,-0.00013896248
1.0,1.8849555921538759,-1.8849555921538759,3.3511803,-0.04566002,-2.3892944,1.9869376,-0.3550705,-0.6610857
1.0,1.8849555921538759,-1.2566370614359172,5.1528063,-0.057636738,-1.8161726,-4.6567726,-0.782252,1.5662005
1.0,1.8849555921538759,-0.6283185307179586,3.0653255,-0.66459084,-1.3388911,-7.250629,-2.2866554,-3.4405065
1.0,1.8849555921538759,0.0,2.5198379,2.7676432,0.09226489,0.0006527707,0.00016460549,-0.0001624377
1.0,1.8849555921538759,0.6283185307179586,2.5198424,2.767648,0.092262745,0.000722796,0.00011754576,-0.0001497388
1.0,1.8849555921538759,1.2566370614359172,2.520028,2.767578,0.09225488,-7.3778705e-05,-0.00032074502,0.00011433981
1.0,1.8849555921538759,1.8849555921538759,2.5198452,2.767649,0.09226322,0.0007412198,0.00012177183,-0.0001447985
1.0,1.8849555921538759,2.5132741228718345,5.4054585,0.22931194,-2.5871563,6.2921386,-1.8561412,2.0342665
1.0,2.5132741228718345,-3.141592653589793,2.5198383,2.7676413,0.092264175,0.00062262855,0.00014675292,-0.00014535704
1.0,2.5132741228718345,-2.5132741228718345,1.0965531,0.44665766,-0.25768018,-2.6959658,13.911635,-5.6278443
1.0,2.5132741228718345,-1.8849555921538759,2.5198445,2.7676485,0.09226227,0.00073109445,9.688457e-05,-0.00015039895
1.0,2.5132741228718345,-1.2566370614359172,2.78749,0.009538412,2.7721603,3.6314917,-0.31248528,0.4724259
1.0,2.5132741228718345,-0.6283185307179586,5.4725323,-0.14088464,-1.7888024,-4.2248096,-0.8008134,1.593089
1.0,2.5132741228718345,0.0,2.520047,2.7675402,0.09226465,-0.0005907481,-0.00017686472,0.00014534644
1.0,2.5132741228718345,0.6283185307179586,2.5200517,2.767545,0.092262745,-0.00052573835,-0.00022049034,0.00013650123
1.0,2.5132741228718345,1.2566370614359172,2.5198405,2.7676442,0.09226394,0.0006658359,0.0001461713,-0.00013896248
1.0,2.5132741228718345,1.8849555921538759,2.5198386,2.767646,0.09226322,0.00069309946,0.0001266522,-0.00014012797
1.0,2.5132741228718345,2.5132741228718345,2.5198379,2.7676432,0.09226489,0.0006527707,0.00016460549,-0.0001624377
1.5,-3.141592653589793,-3.141592653589793,4.9137583,-0.41014194,2.4887764,4.5958314,1.5398387,-3.6740375
1.5,-3.141592653589793,-2.5132741228718345,2.5198386,2.7676432,0.092264175,0.0006544788,0.00016010678,-0.00013499295
1.5,-3.141592653589793,-1.8849555921538759,2.519834,2.7676423,0.09226394,0.00063325115,0.0001547362,-0.00014025526
1.5,-3.141592653589793,-1.2566370614359172,2.5198426,2.7676098,0.09227252,0.00018646757,0.00028632878,-0.00011523948
1.5,-3.141592653589793,-0.6283185307179586,2.5200396,2.7675545,0.09226012,-0.00039616117,-0.0002380776,0.00013520564
1.5,-3.141592653589793,0.0,2.5198348,2.7676442,0.092264414,0.00066102645,0.00014822248,-0.00014318564
