d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
1.0,2.5132741228718345,-1.8849555921538759,1.3561568,2.7559578,0.21741462,1.1478757,1.1546859,0.9526539
1.0,2.5132741228718345,-1.2566370614359172,1.4293364,2.7674615,-0.019623756,-1.0218053,-0.8304965,0.42336103
1.0,2.5132741228718345,-0.6283185307179586,1.4241452,-0.1695292,-2.2729392,-0.00043476158,0.00048409236,0.00055284513
1.0,2.5132741228718345,0.0,1.5152218,0.2300756,-2.4654813,-0.11920922,-0.08653676,0.37542337
1.0,2.5132741228718345,0.6283185307179586,1.5696638,-3.1319325,0.022497416,-0.014153805,-0.5234273,-0.52770907
1.0,2.5132741228718345,1.2566370614359172,1.4250944,2.763962,-0.01790762,-1.0247754,-0.8158802,0.44007376
1.0,2.5132741228718345,1.8849555921538759,1.374229,2.774171,0.23180103,1.2717016,1.2990507,0.82734936
1.0,2.5132741228718345,2.5132741228718345,1.4241067,-0.16952729,-2.2729115,-0.00037491156,0.00052184623,0.00052256463
1.5,-3.141592653589793,-3.141592653589793,20.0,0.48483872,1.8385122,-7.1269917,-53.088787,-5.0417085
1.5,-3.141592653589793,-2.5132741228718345,1.4240981,-0.16954112,-2.2729125,-0.00029106476,0.00058912934,0.00050568726
1.5,-3.141592653589793,-1.8849555921538759,1.5293801,0.31944013,-2.4468746,0.13955258,0.09085587,-0.36334386
1.5,-3.141592653589793,-1.2566370614359172,1.3639555,2.7203648,0.01560998,-0.9183408,-0.558511,0.7144377
1.5,-3.141592653589793,-0.6283185307179586,1.424111,-0.16953611,-2.2729187,-0.00033192613,0.0005533537,0.00049532956
1.5,-3.141592653589793,0.0,1.5388203,2.9113324,-0.044211388,-0.522352,-1.2076977,-0.0015787889
1.5,-3.141592653589793,0.6283185307179586,1.4241114,-0.16953373,-2.272917,-0.00034610135,0.0005240537,0.0005397501
1.5,-3.141592653589793,1.2566370614359172,1.5697263,-3.130394,0.024255276,-0.016453663,-0.50034434,-0.5351913
1.5,-3.141592653589793,1.8849555921538759,1.574782,-3.1252394,0.09335399,-0.05682181,0.3638314,-0.85023004
1.5,-3.141592653589793,2.5132741228718345,1.4240756,-0.16952276,-2.272888,-0.0003397284,0.0004881691,0.00050991896
1.5,-2.5132741228718345,-3.141592653589793,1.4241356,-0.16952133,-2.2729287,-0.0003958218,0.0005179355,0.00056787324
1.5,-2.5132741228718345,-2.5132741228718345,1.4236931,-0.16938758,-2.2725527,-0.00065859035,-6.0525194e-06,0.0004313379
1.5,-2.5132741228718345,-1.8849555921538759,1.5726835,-3.1169765,0.06612635,-0.0626837,0.032452412,-0.7216019
1.5,-2.5132741228718345,-1.2566370614359172,1.3133957,2.6943161,0.074840546,-0.39296842,-0.08684589,1.0282534
1.5,-2.5132741228718345,-0.6283185307179586,1.569444,3.1402357,0.012286663,-0.0028292323,-0.65847635,-0.48405218
1.5,-2.5132741228718345,0.0,1.5694178,3.133672,0.0074603558,0.00061202626,-0.72263485,-0.46307653
1.5,-2.5132741228718345,0.6283185307179586,1.5086235,0.29949903,-2.4257338,0.11413049,0.18172747,-0.25507665
1.5,-2.5132741228718345,1.2566370614359172,1.5748667,3.12484,0.14018464,0.055883806,0.90915793,-1.0490935
1.5,-2.5132741228718345,1.8849555921538759,1.5733931,3.1109622,0.1545744,0.11966659,1.0687335,-1.093362
1.5,-2.5132741228718345,2.5132741228718345,1.4240837,-0.16952276,-2.2728937,-0.0003998825,0.00048154232,0.00052315014
1.5,-1.8849555921538759,-3.141592653589793,1.4241351,-0.16952872,-2.2729313,-0.00035867275,0.0005117564,0.0005550593
1.5,-1.8849555921538759,-2.5132741228718345,1.4240932,-0.16952705,-2.272902,-0.00032315718,0.0004466102,0.0005341001
1.5,-1.8849555921538759,-1.8849555921538759,1.4240834,-0.16953349,-2.2728994,-0.0003189772,0.00048672204,0.0005105796
1.5,-1.8849555921538759,-1.2566370614359172,1.5646381,3.0137599,-0.03442335,-0.16735692,-1.2238836,-0.20725113
1.5,-1.8849555921538759,-0.6283185307179586,1.4240775,-0.16952991,-2.2728932,-0.00031359936,0.0005413663,0.00052086334
1.5,-1.8849555921538759,0.0,1.424099,-0.16953778,-2.2729104,-0.00033297506,0.00049707934,0.00049709
1.5,-1.8849555921538759,0.6283185307179586,1.4241003,-0.16953635,-2.2729113,-0.00034151095,0.00051006104,0.00052728533
1.5,-1.8849555921538759,1.2566370614359172,1.4241045,-0.16953564,-2.2729144,-0.00032613214,0.00053268956,0.0004942114
1.5,-1.8849555921538759,1.8849555921538759,1.5691035,3.0770948,-0.018796682,-0.03403316,-1.0635334,-0.33107713
1.5,-1.8849555921538759,2.5132741228718345,1.4241025,-0.16953754,-2.272914,-0.00028861695,0.00052681175,0.00047392212
1.5,-1.2566370614359172,-3.141592653589793,1.5684693,3.0830414,0.17954254,0.2658627,1.3327112,-1.1357043
1.5,-1.2566370614359172,-2.5132741228718345,1.4879786,2.9074752,0.26269245,1.2547761,1.8881636,-0.32033762
1.5,-1.2566370614359172,-1.8849555921538759,1.4240916,-0.16953683,-2.2729063,-0.00028481963,0.00053365313,0.00049694424
1.5,-1.2566370614359172,-1.2566370614359172,1.5694227,3.136245,0.009266138,-0.0004774753,-0.6986514,-0.4709701
1.5,-1.2566370614359172,-0.6283185307179586,1.5718021,-3.1167905,0.055930853,-0.055700686,-0.094418354,-0.6744356
1.5,-1.2566370614359172,0.0,1.4240781,-0.16952538,-2.2728906,-0.0003468909,0.00047519477,0.0004901118
1.5,-1.2566370614359172,0.6283185307179586,1.5045408,0.2329011,-2.4463518,-0.085591726,0.008358714,0.32483023
1.5,-1.2566370614359172,1.2566370614359172,1.5155493,2.9510825,0.25305915,1.0480506,1.9038407,-0.65858996
1.5,-1.2566370614359172,1.8849555921538759,1.5755827,-3.1378367,0.114681005,-0.0227835,0.61634654,-0.9477387
1.5,-1.2566370614359172,2.5132741228718345,1.4237274,-0.16938972,-2.272576,-0.0006818254,-3.787405e-05,0.00046792848
1.5,-0.6283185307179586,-3.141592653589793,1.3454046,2.7093565,0.031005383,-0.8076256,-0.4414587,0.8148813
1.5,-0.6283185307179586,-2.5132741228718345,0.9105712,2.0317214,-0.027286053,9.0442046e-07,-0.0005829793,-0.00052959827
1.5,-0.6283185307179586,-1.8849555921538759,1.3721726,2.7720902,0.23032808,1.2598383,1.2835457,0.8425377
1.5,-0.6283185307179586,-1.2566370614359172,1.4001745,2.7447712,-0.006496191,-1.017996,-0.72471327,0.5436026
1.5,-0.6283185307179586,-0.6283185307179586,1.4241438,-0.16952705,-2.2729366,-0.0004469631,0.00053745415,0.0005609276
1.5,-0.6283185307179586,0.0,1.4236851,-0.1693852,-2.2725453,-0.00067865336,3.6138243e-07,0.00047635552
1.5,-0.6283185307179586,0.6283185307179586,1.4696063,2.8051674,-0.03313303,-0.9383001,-0.9643106,0.2730118
1.5,-0.6283185307179586,1.2566370614359172,1.5465484,3.013924,0.22618914,0.6800814,1.7545606,-1.0096408
1.5,-0.6283185307179586,1.8849555921538759,1.4240901,-0.16953444,-2.2729044,-0.0003114112,0.00054824504,0.00051185687
1.5,-0.6283185307179586,2.5132741228718345,1.4240859,-0.16953206,-2.2728996,-0.00027178385,0.000549777,0.00049408217
1.5,0.0,-3.141592653589793,1.4240736,-0.16953087,-2.2728908,-0.00032900315,0.0005308199,0.00048032685
1.5,0.0,-2.5132741228718345,1.4236348,-0.16938233,-2.2725086,-0.00064515887,-1.4648657e-05,0.00041287683
1.5,0.0,-1.8849555921538759,1.4519664,0.258075,-2.3390136,0.13729008,0.40222958,-0.11486652
