d,theta1,theta2
1.812500000000000000e+00,-1.736999988555908203e+00,8.059999942779541016e-01
1.812500000000000000e+00,-3.500000014901161194e-02,2.867000102996826172e+00
1.812500000000000000e+00,1.879999995231628418e+00,-1.883999943733215332e+00
1.812500000000000000e+00,2.785000085830688477e+00,7.999999821186065674e-02
1.958333373069763184e+00,-1.929000020027160645e+00,1.739999949932098389e-01
1.958333373069763184e+00,-2.800000086426734924e-02,2.994999885559082031e+00
1.958333373069763184e+00,1.891000032424926758e+00,-1.807000041007995605e+00
1.958333373069763184e+00,2.736999988555908203e+00,1.000000014901161194e-01
2.104166746139526367e+00,-1.901000022888183594e+00,7.999999821186065674e-02
2.104166746139526367e+00,-2.600000053644180298e-02,3.092000007629394531e+00
2.104166746139526367e+00,1.939000010490417480e+00,-1.667999982833862305e+00
2.104166746139526367e+00,2.680000066757202148e+00,1.289999932050704956e-01
2.250000000000000000e+00,-1.871000051498413086e+00,1.300000026822090149e-02
2.250000000000000000e+00,-2.700000070035457611e-02,-3.109999895095825195e+00
2.250000000000000000e+00,2.589999914169311523e+00,1.729999929666519165e-01
2.395833253860473633e+00,-1.845000028610229492e+00,-3.099999949336051941e-02
2.395833253860473633e+00,-1.280000060796737671e-01,-2.276000022888183594e+00
2.395833253860473633e+00,-7.199999690055847168e-02,1.667999982833862305e+00
2.395833253860473633e+00,-2.999999932944774628e-02,-3.036000013351440430e+00
2.395833253860473633e+00,2.301000118255615234e+00,3.389999866485595703e-01
2.541666746139526367e+00,-1.824000000953674316e+00,-5.999999865889549255e-02
2.541666746139526367e+00,-1.824000000953674316e+00,-5.900000035762786865e-02
2.541666746139526367e+00,-1.220000013709068298e-01,-2.211999893188476562e+00
2.541666746139526367e+00,-3.599999845027923584e-02,-2.953999996185302734e+00
2.687500000000000000e+00,-1.807000041007995605e+00,-7.699999958276748657e-02
2.687500000000000000e+00,-1.110000014305114746e-01,-2.167000055313110352e+00
2.833333253860473633e+00,-1.794999957084655762e+00,-8.600000292062759399e-02
2.833333253860473633e+00,-1.493000030517578125e+00,-9.589999914169311523e-01
